entity,category,count,tf,idf,tfidf
70-90%,impact,1,0.0039,1.3863,0.005458
73,impact,1,0.0039,1.3863,0.005458
75 micrograms per cubic meter,impact,1,0.0039,1.3863,0.005458
76%,impact,1,0.0039,1.3863,0.005458
8 million,impact,1,0.0039,1.3863,0.005458
80 million,impact,1,0.0039,1.3863,0.005458
93%,impact,1,0.0039,1.3863,0.005458
Acapulco,impact,1,0.0039,1.3863,0.005458
Algeria,impact,1,0.0039,1.3863,0.005458
Australia,impact,1,0.0039,1.3863,0.005458
Bolivia,impact,1,0.0039,1.3863,0.005458
Burkina Faso,impact,1,0.0039,1.3863,0.005458
Caribbean,impact,1,0.0039,1.3863,0.005458
Category 5,impact,1,0.0039,1.3863,0.005458
Chad,impact,1,0.0039,1.3863,0.005458
Derna,impact,1,0.0039,1.3863,0.005458
East Africa,impact,1,0.0039,1.3863,0.005458
Ethiopia,impact,1,0.0039,1.3863,0.005458
European,impact,1,0.0039,1.3863,0.005458
Flash,impact,1,0.0039,1.3863,0.005458
Friends of the Earth Middle East,impact,1,0.0039,1.3863,0.005458
GLOF,impact,1,0.0039,1.3863,0.005458
Global Risks Report,impact,1,0.0039,1.3863,0.005458
Himalayas,impact,1,0.0039,1.3863,0.005458
Hindu Kush,impact,1,0.0039,1.3863,0.005458
Hurricane Otis,impact,1,0.0039,1.3863,0.005458
Karakoram,impact,1,0.0039,1.3863,0.005458
Kiribati,impact,1,0.0039,1.3863,0.005458
Kush Himalaya,impact,1,0.0039,1.3863,0.005458
Lahaina,impact,1,0.0039,1.3863,0.005458
Lebanon,impact,1,0.0039,1.3863,0.005458
Levant,impact,1,0.0039,1.3863,0.005458
Mali,impact,1,0.0039,1.3863,0.005458
Mexico,impact,1,0.0039,1.3863,0.005458
Niger,impact,1,0.0039,1.3863,0.005458
"October 25, 2023",impact,1,0.0039,1.3863,0.005458
Qatar,impact,1,0.0039,1.3863,0.005458
Sahel,impact,2,0.0079,0.6931,0.005458
Scandinavia,impact,1,0.0039,1.3863,0.005458
September 2022,impact,1,0.0039,1.3863,0.005458
Sicily,impact,1,0.0039,1.3863,0.005458
Sikkim,impact,1,0.0039,1.3863,0.005458
Southeast Asian,impact,1,0.0039,1.3863,0.005458
Storm Daniel,impact,1,0.0039,1.3863,0.005458
Syria,impact,1,0.0039,1.3863,0.005458
Teesta III,impact,1,0.0039,1.3863,0.005458
The Coral Triangle Initiative,impact,1,0.0039,1.3863,0.005458
The Dead Sea,impact,1,0.0039,1.3863,0.005458
The Global Biodiversity Framework Monitor,impact,1,0.0039,1.3863,0.005458
The Global Heat Health Information Network,impact,1,0.0039,1.3863,0.005458
The IPCC Working Group II,impact,1,0.0039,1.3863,0.005458
The International Labour Organization,impact,1,0.0039,1.3863,0.005458
The Jordan River,impact,1,0.0039,1.3863,0.005458
The Jordanian Department of Meteorology,impact,1,0.0039,1.3863,0.005458
The Lancet Countdown on Health and Climate Change,impact,1,0.0039,1.3863,0.005458
The Lancet Planetary Health,impact,1,0.0039,1.3863,0.005458
The Mediterranean Sea,impact,1,0.0039,1.3863,0.005458
The Ministry of Health,impact,1,0.0039,1.3863,0.005458
The Sahara Desert,impact,1,0.0039,1.3863,0.005458
The World Economic Forum's,impact,1,0.0039,1.3863,0.005458
The World Food Programme,impact,1,0.0039,1.3863,0.005458
The World Resources Institute,impact,1,0.0039,1.3863,0.005458
Tunisia,impact,1,0.0039,1.3863,0.005458
WHO,impact,1,0.0039,1.3863,0.005458
a decade,impact,1,0.0039,1.3863,0.005458
an estimated $3.5 billion,impact,1,0.0039,1.3863,0.005458
"approximately 250,000",impact,1,0.0039,1.3863,0.005458
approximately 48 kilometers,impact,1,0.0039,1.3863,0.005458
approximately 500 million,impact,1,0.0039,1.3863,0.005458
approximately 80 cubic meters,impact,1,0.0039,1.3863,0.005458
approximately one-third,impact,1,0.0039,1.3863,0.005458
at least 52,impact,1,0.0039,1.3863,0.005458
between 2000 and 2022,impact,1,0.0039,1.3863,0.005458
between 2030,impact,1,0.0039,1.3863,0.005458
billion-dollar,impact,1,0.0039,1.3863,0.005458
every 5 seconds,impact,1,0.0039,1.3863,0.005458
hours,impact,1,0.0039,1.3863,0.005458
just 12 hours,impact,1,0.0039,1.3863,0.005458
just 2 meters,impact,1,0.0039,1.3863,0.005458
late 2023,impact,1,0.0039,1.3863,0.005458
less than 100 million cubic meters,impact,1,0.0039,1.3863,0.005458
less than a year,impact,1,0.0039,1.3863,0.005458
marine habitat,impact,1,0.0039,1.3863,0.005458
millions,impact,1,0.0039,1.3863,0.005458
months,impact,1,0.0039,1.3863,0.005458
more than 1 meter,impact,1,0.0039,1.3863,0.005458
one-third,impact,1,0.0039,1.3863,0.005458
over $16 billion,impact,1,0.0039,1.3863,0.005458
over $30 billion,impact,1,0.0039,1.3863,0.005458
"over 11,000",impact,1,0.0039,1.3863,0.005458
over 13 million,impact,1,0.0039,1.3863,0.005458
over 40,impact,1,0.0039,1.3863,0.005458
"over 5,000",impact,1,0.0039,1.3863,0.005458
summer hours,impact,1,0.0039,1.3863,0.005458
the 1980s,impact,1,0.0039,1.3863,0.005458
the 2023 summer,impact,1,0.0039,1.3863,0.005458
the African Union's Climate Research Centre,impact,1,0.0039,1.3863,0.005458
the Democratic Republic of Congo,impact,1,0.0039,1.3863,0.005458
the Eastern Pacific,impact,1,0.0039,1.3863,0.005458
the Internal Displacement Monitoring Centre,impact,1,0.0039,1.3863,0.005458
the Jordan River,impact,1,0.0039,1.3863,0.005458
the Marshall Islands',impact,1,0.0039,1.3863,0.005458
the West Bank,impact,1,0.0039,1.3863,0.005458
the summer of 2023,impact,1,0.0039,1.3863,0.005458
threatens 40%,impact,1,0.0039,1.3863,0.005458
up to 280,impact,1,0.0039,1.3863,0.005458
up to 30%,impact,1,0.0039,1.3863,0.005458
up to 50%,impact,1,0.0039,1.3863,0.005458
Mediterranean,impact,3,0.0118,0.2877,0.003398
1.5 degrees,impact,1,0.0039,0.6931,0.002729
10%,impact,1,0.0039,0.6931,0.002729
100,impact,1,0.0039,0.6931,0.002729
12%,impact,1,0.0039,0.6931,0.002729
1960,impact,1,0.0039,0.6931,0.002729
1990,impact,1,0.0039,0.6931,0.002729
2 billion,impact,1,0.0039,0.6931,0.002729
2040,impact,1,0.0039,0.6931,0.002729
21%,impact,1,0.0039,0.6931,0.002729
25%,impact,1,0.0039,0.6931,0.002729
35%,impact,1,0.0039,0.6931,0.002729
40 million,impact,1,0.0039,0.6931,0.002729
40 years,impact,1,0.0039,0.6931,0.002729
Baghdad,impact,1,0.0039,0.6931,0.002729
Brazil,impact,1,0.0039,0.6931,0.002729
